fighter1,fighter2,fight_outcome,fighter1_Weight,fighter1_Reach,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age,fighter1_Stance_Open stance,fighter1_Stance_Orthodox,fighter1_Stance_Southpaw,fighter1_Stance_Switch,fighter2_Stance_Open stance,fighter2_Stance_Orthodox,fighter2_Stance_Southpaw,fighter2_Stance_Switch,diff_TDAcc,diff_StrAcc,diff_SubAvg,diff_StrDef,diff_Age,diff_SApM,diff_SLpM,diff_Reach,diff_TDAvg,diff_Height_in,diff_Draws,diff_TDDef,diff_Weight,diff_Wins,diff_Losses
Charles Johnson,Ramazan Temirov,0,125.0,70,4.77,50,3.62,57,0.56,23,67,0.4,125.0,63,8.12,41,1.41,75,0.0,0,0,0.0,17,6,0,18,3,0,69.0,64.0,34.0,28.0,False,False,False,True,False,True,False,False,23,9,0.4,-18,6.0,2.21,-3.3499999999999996,7,0.56,5.0,0,67,0.0,-1,3
Andrea Lee,JJ Aldrich,0,125.0,69,4.71,46,3.83,62,1.7,55,54,0.6,125.0,67,3.88,46,4.38,60,0.66,23,66,0.0,13,10,0,13,7,0,66.0,65.0,36.0,32.0,False,True,False,False,False,False,True,False,32,0,0.6,2,4.0,-0.5499999999999998,0.8300000000000001,2,1.04,1.0,0,-12,0.0,0,3
Erin Blanchfield,JJ Aldrich,1,125.0,66,5.24,44,4.21,59,1.86,31,80,0.8,125.0,67,3.88,46,4.38,60,0.66,23,66,0.0,13,2,0,13,7,0,64.0,65.0,25.0,32.0,False,True,False,False,False,False,True,False,8,-2,0.8,-1,-7.0,-0.16999999999999993,1.3600000000000003,-1,1.2000000000000002,-1.0,0,14,0.0,0,-5
Danny Silva,Lucas Almeida,1,145.0,70,8.3,58,9.47,59,3.0,50,100,0.5,145.0,71,4.94,43,4.92,46,0.0,0,50,0.0,9,1,0,15,3,0,71.0,71.0,28.0,34.0,False,False,False,True,False,True,False,False,50,15,0.5,13,-6.0,4.550000000000001,3.3600000000000003,-1,3.0,0.0,0,50,0.0,-6,-2
Ricardo Ramos,Chepe Mariscal,0,145.0,72,3.03,36,3.85,55,2.77,61,72,0.8,145.0,69,4.75,57,3.24,50,3.09,39,72,0.3,17,6,0,17,6,0,69.0,67.0,29.0,32.0,False,True,False,False,False,True,False,False,22,-21,0.5,5,-3.0,0.6099999999999999,-1.7200000000000002,3,-0.31999999999999984,2.0,0,0,0.0,0,0
Austen Lane,Mario Pinto,0,245.0,80,2.47,50,2.44,40,2.03,30,0,0.0,265.0,79,8.16,93,4.08,61,0.0,0,0,0.0,13,5,0,9,0,0,78.0,77.0,37.0,27.0,False,True,False,False,False,True,False,False,30,-43,0.0,-21,10.0,-1.6400000000000001,-5.6899999999999995,1,2.03,1.0,0,0,-20.0,4,5
Danny Barlow,Sam Patterson,0,170.0,79,5.72,50,3.48,52,0.0,0,100,0.0,170.0,78,2.66,37,3.37,48,1.94,100,33,3.9,9,0,0,12,2,1,74.0,75.0,29.0,28.0,False,False,True,False,False,True,False,False,-100,13,-3.9,4,1.0,0.10999999999999988,3.0599999999999996,1,-1.94,-1.0,-1,67,0.0,-3,-2
Vanessa Demopoulos,Jinh Yu Frey,1,115.0,59,3.87,41,5.53,41,0.41,11,27,0.5,115.0,65,2.97,43,4.23,52,1.02,36,90,0.3,11,6,0,11,10,0,62.0,63.0,36.0,39.0,False,True,False,False,False,False,True,False,-25,-2,0.2,-11,-3.0,1.2999999999999998,0.8999999999999999,-6,-0.6100000000000001,-1.0,0,-63,0.0,0,-4
Jessica Eye,Maycee Barber,0,125.0,66,3.86,37,4.19,55,0.58,40,57,0.5,125.0,65,4.7,53,2.9,54,1.44,43,53,0.1,15,11,0,14,2,0,66.0,65.0,38.0,26.0,False,True,False,False,False,False,False,True,-3,-16,0.4,1,12.0,1.2900000000000005,-0.8400000000000003,1,-0.86,1.0,0,4,0.0,1,9
Jessica-Rose Clark,Julija Stoliarenko,0,135.0,64,3.73,51,3.51,58,1.66,42,62,0.3,125.0,66,2.49,39,4.54,46,0.93,27,54,1.7,11,9,0,11,9,2,65.0,67.0,37.0,31.0,False,True,False,False,False,True,False,False,15,12,-1.4,12,6.0,-1.0300000000000002,1.2399999999999998,-2,0.7299999999999999,-2.0,-2,8,10.0,0,0
Nicolae Negumereanu,Ihor Potieria,1,205.0,78,3.58,41,5.56,39,1.02,28,62,0.0,185.0,75,4.44,50,4.96,50,0.73,18,66,0.0,13,2,0,20,8,0,72.0,75.0,30.0,28.0,False,True,False,False,False,False,True,False,10,-9,0.0,-11,2.0,0.5999999999999996,-0.8600000000000003,3,0.29000000000000004,-3.0,0,-4,20.0,-7,-6
Orion Cosce,Blood Diamond,1,170.0,71,2.77,53,4.02,44,1.92,40,61,0.0,170.0,76,3.12,55,2.17,48,0.0,0,73,0.0,8,2,0,3,3,0,71.0,71.0,30.0,36.0,False,False,False,True,False,False,False,True,40,-2,0.0,-4,-6.0,1.8499999999999996,-0.3500000000000001,-5,1.92,0.0,0,-12,0.0,5,-1
Joselyne Edwards,Ji Yeon Kim,1,135.0,70,4.48,52,3.19,49,1.23,39,61,0.6,125.0,72,5.37,36,5.41,56,0.0,0,50,0.1,14,6,0,9,7,2,68.0,67.0,29.0,35.0,False,True,False,False,False,True,False,False,39,16,0.5,-7,-6.0,-2.22,-0.8899999999999997,-2,1.23,1.0,-2,11,10.0,5,-1
Stephanie Egger,Ailin Perez,1,135.0,68,2.2,46,2.48,52,2.48,42,50,0.6,135.0,66,3.1,54,1.79,55,4.68,46,66,0.2,8,5,0,12,2,0,66.0,65.0,36.0,30.0,False,True,False,False,False,False,False,True,-4,-8,0.39999999999999997,-3,6.0,0.69,-0.8999999999999999,2,-2.1999999999999997,1.0,0,-16,0.0,-4,3
Nikolas Motta,Cameron VanCamp,1,155.0,70,3.64,37,4.5,56,0.0,0,82,0.0,155.0,74,5.31,47,6.41,40,0.0,0,0,0.0,15,5,0,15,7,1,69.0,74.0,32.0,31.0,False,True,False,False,False,False,False,True,0,-10,0.0,16,1.0,-1.9100000000000001,-1.6699999999999995,-4,0.0,-5.0,-1,82,0.0,0,-2
Khalid Taha,Cristian Quinonez,0,135.0,69,2.64,32,4.12,46,0.0,0,61,0.2,135.0,70,4.19,40,4.55,55,1.37,37,84,0.0,13,5,0,18,5,0,65.0,68.0,33.0,28.0,False,True,False,False,False,True,False,False,-37,-8,0.2,-9,5.0,-0.4299999999999997,-1.5500000000000003,-1,-1.37,-3.0,0,-23,0.0,-5,0
Tony Gravely,Javid Basharat,0,135.0,69,3.82,48,4.47,44,5.4,41,52,0.3,135.0,69,5.41,53,2.96,61,1.62,40,83,0.2,23,9,0,14,2,0,65.0,69.0,33.0,29.0,False,True,False,False,False,True,False,False,1,-5,0.09999999999999998,-17,4.0,1.5099999999999998,-1.5900000000000003,0,3.7800000000000002,-4.0,0,-31,0.0,9,7
Mariya Agapova,Gillian Robertson,0,125.0,68,4.43,54,3.62,52,0.55,66,45,0.8,115.0,63,2.89,48,2.95,56,2.68,39,41,1.0,10,5,0,15,8,0,66.0,65.0,27.0,29.0,False,False,True,False,False,True,False,False,27,6,-0.19999999999999996,-4,-2.0,0.6699999999999999,1.5399999999999996,5,-2.13,1.0,0,4,10.0,-5,-3
Anthony Hernandez,Marc-Andre Barriault,1,185.0,75,4.5,63,2.61,46,6.27,45,66,1.9,185.0,74,5.98,47,5.58,52,0.21,25,67,0.1,14,2,0,16,9,0,72.0,73.0,31.0,35.0,False,True,False,False,False,True,False,False,20,16,1.7999999999999998,-6,-4.0,-2.97,-1.4800000000000004,1,6.06,-1.0,0,-1,0.0,-2,-7
Trey Ogden,Daniel Zellhuber,1,155.0,72,3.2,50,3.49,55,1.89,32,100,0.7,155.0,77,6.26,40,6.02,55,0.18,25,94,0.2,18,7,0,15,2,0,71.0,73.0,35.0,25.0,False,True,False,False,False,False,False,True,7,10,0.49999999999999994,0,10.0,-2.5299999999999994,-3.0599999999999996,-5,1.71,-2.0,0,6,0.0,3,5
Damon Jackson,Pat Sabatini,1,155.0,71,2.96,42,3.47,49,2.3,32,37,1.2,145.0,70,1.94,59,1.47,48,3.97,44,50,2.0,23,8,1,19,5,0,71.0,68.0,36.0,34.0,False,False,False,True,False,True,False,False,-12,-17,-0.8,1,2.0,2.0,1.02,1,-1.6700000000000004,3.0,1,-13,10.0,4,3
Tanner Boser,Rodrigo Nascimento,0,205.0,75,4.7,52,2.75,58,0.0,0,63,0.0,246.0,80,3.71,47,4.34,44,1.02,37,60,0.5,21,10,1,11,3,0,74.0,74.0,33.0,32.0,False,True,False,False,False,True,False,False,-37,5,-0.5,14,1.0,-1.5899999999999999,0.9900000000000002,-5,-1.02,0.0,1,3,-41.0,10,7
Denise Gomes,Loma Lookboonmee,0,115.0,63,4.55,50,3.11,51,0.72,25,67,0.9,115.0,61,4.1,57,2.48,53,1.9,50,72,0.1,10,3,0,9,3,0,62.0,61.0,25.0,29.0,False,True,False,False,False,True,False,False,-25,-7,0.8,-2,-4.0,0.6299999999999999,0.4500000000000002,2,-1.18,1.0,0,-5,0.0,1,0
Joe Pyfer,Alen Amedovski,1,185.0,75,3.72,41,3.48,51,1.45,41,50,0.9,185.0,74,0.99,30,3.85,46,0.0,0,0,0.0,13,3,0,8,4,0,74.0,70.0,28.0,36.0,False,True,False,False,False,True,False,False,41,11,0.9,5,-8.0,-0.3700000000000001,2.7300000000000004,1,1.45,4.0,0,50,0.0,5,-1
Andre Fili,Bill Algeo,1,145.0,74,3.84,37,4.15,51,2.17,44,70,0.2,145.0,73,5.88,51,4.38,47,1.03,50,55,0.1,24,12,0,18,9,0,71.0,72.0,34.0,35.0,False,True,False,False,False,False,False,True,-6,-14,0.1,4,-1.0,-0.22999999999999954,-2.04,1,1.14,-1.0,0,15,0.0,6,3
Cory Sandhagen,Song Yadong,1,135.0,70,5.02,44,3.46,56,1.19,32,63,0.3,135.0,67,4.58,43,4.0,55,0.61,38,73,0.1,17,5,0,22,7,1,71.0,68.0,32.0,27.0,False,False,False,True,False,True,False,False,-6,1,0.19999999999999998,1,5.0,-0.54,0.4399999999999995,3,0.58,3.0,-1,-10,0.0,-5,-2
Trevin Giles,Louis Cosce,1,170.0,74,3.17,54,2.39,58,1.07,50,72,0.3,170.0,71,4.31,45,5.35,47,1.04,20,50,0.5,16,7,0,7,2,0,72.0,69.0,32.0,29.0,False,True,False,False,False,True,False,False,30,9,-0.2,11,3.0,-2.9599999999999995,-1.1399999999999997,3,0.030000000000000027,3.0,0,22,0.0,9,5
Chidi Njokuani,Gregory Rodrigues,0,170.0,80,4.59,63,2.67,56,0.0,0,74,0.2,185.0,75,5.6,53,4.95,51,2.31,38,88,0.3,24,10,0,16,6,0,75.0,75.0,36.0,33.0,False,True,False,False,False,True,False,False,-38,10,-0.09999999999999998,5,3.0,-2.2800000000000002,-1.0099999999999998,5,-2.31,0.0,0,-14,-15.0,8,4
Darian Weeks,Yohan Lainesse,0,170.0,72,4.49,51,4.56,51,2.0,30,100,0.0,170.0,76,2.22,41,3.38,58,0.94,28,72,0.5,5,3,0,9,3,0,71.0,73.0,31.0,32.0,False,True,False,False,False,True,False,False,2,10,-0.5,-7,-1.0,1.1799999999999997,2.27,-4,1.06,-2.0,0,28,0.0,-4,0
Melissa Martinez,Elise Reed,0,115.0,66,3.9,52,4.33,55,0.5,50,25,0.0,115.0,63,3.5,53,3.15,53,0.49,60,56,0.0,8,1,0,8,4,0,62.0,63.0,27.0,32.0,False,False,True,False,False,True,False,False,-10,-1,0.0,2,-5.0,1.1800000000000002,0.3999999999999999,3,0.010000000000000009,-1.0,0,-31,0.0,0,-3
Denis Tiuliulin,Jamie Pickett,1,185.0,77,3.61,41,5.23,38,0.96,42,72,0.0,185.0,80,2.65,47,3.62,50,1.26,40,67,0.1,10,10,0,13,11,0,73.0,74.0,36.0,36.0,False,True,False,False,False,True,False,False,2,-6,-0.1,-12,0.0,1.6100000000000003,0.96,-3,-0.30000000000000004,-1.0,0,5,0.0,-3,-1
Jake Collier,Chris Barnett,0,230.0,78,5.8,44,5.08,50,0.71,33,67,0.6,265.0,75,4.21,47,6.53,39,0.0,0,33,0.0,13,10,0,23,9,0,75.0,69.0,36.0,38.0,False,True,False,False,False,True,False,False,33,-3,0.6,11,-2.0,-1.4500000000000002,1.5899999999999999,3,0.71,6.0,0,34,-35.0,-10,1
Chad Anheliger,Alatengheili,0,135.0,64,3.11,46,2.76,53,0.68,30,38,0.5,135.0,66,2.64,32,4.67,57,1.99,45,75,0.0,13,8,0,17,9,2,66.0,65.0,38.0,33.0,False,True,False,False,False,True,False,False,-15,14,0.5,-4,5.0,-1.9100000000000001,0.46999999999999975,-2,-1.31,1.0,-2,-37,0.0,-4,-1
Jailton Almeida,Anton Turkalj,1,205.0,79,2.62,65,0.89,41,6.58,60,60,2.4,205.0,78,2.45,42,3.42,54,4.98,41,16,0.0,22,3,0,8,4,0,75.0,76.0,33.0,28.0,False,True,False,False,False,True,False,False,19,23,2.4,-13,5.0,-2.53,0.16999999999999993,1,1.5999999999999996,-1.0,0,44,0.0,14,-1
Norma Dumont,Danyelle Wolf,1,135.0,67,3.86,50,2.16,65,1.72,56,72,0.0,145.0,70,2.37,25,4.57,47,0.0,0,77,0.5,12,2,0,1,1,0,67.0,71.0,34.0,41.0,False,True,False,False,False,True,False,False,56,25,-0.5,18,-7.0,-2.41,1.4899999999999998,-3,1.72,-4.0,0,-5,-10.0,11,1
Hakeem Dawodu,Julian Erosa,0,145.0,73,5.45,50,3.37,56,0.0,0,65,0.0,145.0,74,6.18,48,6.31,48,1.69,48,58,0.8,13,4,1,30,12,0,68.0,73.0,33.0,35.0,False,True,False,False,False,False,True,False,-48,2,-0.8,8,-2.0,-2.9399999999999995,-0.7299999999999995,-1,-1.69,-5.0,1,7,0.0,-17,-8
Irene Aldana,Macy Chiasson,1,135.0,68,5.19,39,6.64,56,0.15,50,77,0.2,135.0,72,3.77,46,2.79,44,2.37,38,70,0.4,15,8,0,11,3,0,69.0,71.0,37.0,33.0,False,True,False,False,False,True,False,False,12,-7,-0.2,12,4.0,3.8499999999999996,1.4200000000000004,-4,-2.22,-2.0,0,7,0.0,4,5
Johnny Walker,Ion Cutelaba,1,205.0,82,3.87,53,3.12,44,0.45,100,57,0.9,205.0,75,4.3,43,3.38,46,4.17,52,75,0.1,21,9,0,19,10,1,78.0,73.0,32.0,31.0,False,True,False,False,False,False,True,False,48,10,0.8,-2,1.0,-0.2599999999999998,-0.4299999999999997,7,-3.7199999999999998,5.0,-1,-18,0.0,2,-1
Li Jingliang,Daniel Rodriguez,0,170.0,71,4.46,42,3.95,56,1.19,41,60,0.0,170.0,74,7.5,49,5.47,58,0.59,54,57,0.1,19,9,0,18,5,0,72.0,73.0,37.0,38.0,False,True,False,False,False,False,True,False,-13,-7,-0.1,-2,-1.0,-1.5199999999999996,-3.04,-3,0.6,-1.0,0,3,0.0,1,4
Khamzat Chimaev,Kevin Holland,1,185.0,75,5.36,58,3.25,41,4.31,46,100,2.8,170.0,81,4.22,49,3.22,50,0.82,38,53,0.6,14,0,0,26,13,0,74.0,75.0,30.0,32.0,False,True,False,False,False,True,False,False,8,9,2.1999999999999997,-9,-2.0,0.029999999999999805,1.1400000000000006,-6,3.4899999999999998,-1.0,0,47,15.0,-12,-13
Benoit Saint Denis,Gabriel Miranda,1,155.0,73,5.17,53,4.98,41,3.97,37,68,1.2,145.0,71,2.82,40,5.3,37,3.85,33,0,1.3,13,3,0,17,7,0,71.0,71.0,29.0,35.0,False,False,True,False,False,True,False,False,4,13,-0.10000000000000009,4,-6.0,-0.3199999999999994,2.35,2,0.1200000000000001,0.0,0,68,10.0,-4,-4
Fares Ziam,Michal Figlak,1,155.0,75,2.85,51,1.62,64,1.62,40,70,0.2,155.0,70,4.0,39,4.93,52,0.5,12,57,0.0,17,4,0,8,2,0,73.0,70.0,28.0,28.0,False,True,False,False,False,True,False,False,28,12,0.2,12,0.0,-3.3099999999999996,-1.15,5,1.12,3.0,0,13,0.0,9,2
Nate Diaz,Tony Ferguson,1,170.0,76,4.57,45,3.77,52,1.05,30,41,1.3,170.0,76,4.91,45,4.37,55,0.39,35,66,0.9,22,13,0,26,11,0,72.0,71.0,39.0,41.0,False,False,True,False,False,True,False,False,-5,0,0.4,-3,-2.0,-0.6000000000000001,-0.33999999999999986,0,0.66,1.0,0,-25,0.0,-4,2
Abus Magomedov,Dustin Stoltzfus,1,185.0,78,2.65,44,3.35,55,3.12,64,100,0.3,185.0,75,3.47,44,3.29,46,2.31,41,46,1.1,27,6,1,16,6,0,74.0,72.0,34.0,33.0,False,True,False,False,False,True,False,False,23,0,-0.8,9,1.0,0.06000000000000005,-0.8200000000000003,3,0.81,2.0,1,54,0.0,11,0
John Makdessi,Nasrat Haqparast,0,155.0,68,5.52,49,4.15,68,0.0,0,86,0.0,155.0,72,6.15,44,5.65,62,0.28,20,84,0.0,18,9,0,17,5,0,68.0,70.0,39.0,29.0,False,True,False,False,False,False,True,False,-20,5,0.0,6,10.0,-1.5,-0.6300000000000008,-4,-0.28,-2.0,0,2,0.0,1,4
Alessio Di Chirico,Roman Kopylov,0,185.0,74,3.32,39,3.44,61,1.46,39,83,0.0,185.0,75,4.96,50,4.86,55,1.17,42,87,0.0,13,7,0,14,3,0,72.0,72.0,35.0,33.0,False,True,False,False,False,False,True,False,-3,-11,0.0,6,2.0,-1.4200000000000004,-1.6400000000000001,-1,0.29000000000000004,0.0,0,-4,0.0,-1,4
Robert Whittaker,Marvin Vettori,1,185.0,73,4.54,43,3.41,59,0.8,38,81,0.0,185.0,74,4.56,45,4.24,56,1.66,45,69,0.5,27,8,0,19,7,1,72.0,72.0,34.0,31.0,False,True,False,False,False,False,True,False,-7,-2,-0.5,3,3.0,-0.8300000000000001,-0.019999999999999574,-1,-0.8599999999999999,0.0,-1,12,0.0,8,1
Charles Jourdain,Nathaniel Wood,0,135.0,69,5.43,48,4.27,56,0.34,21,47,0.6,145.0,69,5.75,51,4.0,56,1.56,48,72,0.5,16,8,1,20,6,0,69.0,66.0,29.0,31.0,False,False,False,True,False,True,False,False,-27,-3,0.09999999999999998,0,-2.0,0.2699999999999996,-0.3200000000000003,0,-1.22,3.0,1,-25,-10.0,-4,2
William Gomis,Jarno Errens,1,145.0,73,2.69,50,1.6,71,0.78,37,70,0.5,145.0,73,3.29,44,3.29,61,0.0,0,33,0.3,14,2,0,14,6,1,72.0,71.0,27.0,30.0,False,False,True,False,False,True,False,False,37,6,0.2,10,-3.0,-1.69,-0.6000000000000001,0,0.78,1.0,-1,37,0.0,0,-4
Ciryl Gane,Tai Tuivasa,1,245.0,81,5.26,61,2.23,61,0.7,25,43,0.6,264.0,75,3.77,46,5.18,44,0.0,0,57,0.0,13,2,0,15,8,0,76.0,74.0,34.0,32.0,False,True,False,False,False,False,True,False,25,15,0.6,17,2.0,-2.9499999999999997,1.4899999999999998,6,0.7,2.0,0,-14,-19.0,-2,-6
Jason Witt,Josh Quinlan,0,170.0,70,2.15,44,2.54,52,6.9,48,100,0.9,170.0,72,3.57,42,6.38,53,0.34,11,71,0.0,19,9,0,6,3,0,70.0,72.0,38.0,32.0,False,True,False,False,False,True,False,False,37,2,0.9,-1,6.0,-3.84,-1.42,-2,6.5600000000000005,-2.0,0,29,0.0,13,6
Nassourdine Imavov,Joaquin Buckley,1,185.0,75,4.45,55,3.26,58,0.85,32,78,1.1,170.0,76,4.22,37,3.13,59,1.78,45,73,0.1,16,4,0,21,6,0,75.0,70.0,30.0,30.0,False,True,False,False,False,False,True,False,-13,18,1.0,-1,0.0,0.1299999999999999,0.23000000000000043,-1,-0.93,5.0,0,5,15.0,-5,-2
Cynthia Calvillo,Nina Nunes,0,115.0,64,4.41,38,4.12,64,1.8,44,77,0.8,125.0,64,4.39,45,3.47,55,0.24,33,73,0.5,9,6,1,11,7,0,64.0,65.0,37.0,39.0,False,True,False,False,False,True,False,False,11,-7,0.30000000000000004,9,-2.0,0.6499999999999999,0.020000000000000462,0,1.56,-1.0,1,4,-10.0,-2,-1
Bruno Silva,Gerald Meerschaert,0,125.0,65,3.54,49,4.08,52,1.92,25,60,0.2,185.0,77,3.1,45,3.45,53,2.01,35,42,1.5,14,6,2,37,18,0,64.0,73.0,35.0,37.0,False,True,False,False,False,False,True,False,-10,4,-1.3,-1,-2.0,0.6299999999999999,0.43999999999999995,-12,-0.08999999999999986,-9.0,2,18,-60.0,-23,-12
Ode Osbourne,Tyson Nam,0,125.0,73,3.26,40,4.01,45,1.21,28,63,0.6,125.0,68,3.87,33,4.97,65,0.0,0,87,0.0,12,8,0,21,14,1,67.0,67.0,33.0,41.0,False,False,True,False,False,True,False,False,28,7,0.6,-20,-8.0,-0.96,-0.6100000000000003,5,1.21,0.0,-1,-24,0.0,-9,-6
Martin Buday,Lukasz Brzeski,1,265.0,77,4.84,53,5.54,52,0.21,25,100,0.2,236.0,78,5.02,50,3.68,54,0.43,33,36,0.4,14,2,0,9,6,1,76.0,76.0,33.0,32.0,False,True,False,False,False,True,False,False,-8,3,-0.2,-2,1.0,1.8599999999999999,-0.17999999999999972,-1,-0.22,0.0,-1,64,29.0,5,-4
Angela Hill,Loopy Godinez,1,115.0,64,5.47,50,4.92,61,0.81,32,75,0.1,115.0,61,4.16,48,3.69,63,2.95,47,81,1.0,18,14,0,12,5,0,63.0,62.0,40.0,31.0,False,True,False,False,False,True,False,False,-15,2,-0.9,-2,9.0,1.23,1.3099999999999996,3,-2.14,1.0,0,-6,0.0,6,9
Gabriel Benitez,Charlie Ontiveros,1,155.0,71,5.26,41,4.49,63,0.22,50,55,0.9,155.0,74,1.89,41,5.86,31,0.0,0,30,0.0,23,13,0,11,9,0,68.0,74.0,36.0,33.0,False,False,True,False,False,False,False,True,50,0,0.9,32,3.0,-1.37,3.37,-3,0.22,-6.0,0,25,0.0,12,4
Yazmin Jauregui,Iasmin Lucindo,1,115.0,64,6.64,39,5.25,54,0.0,0,100,0.0,115.0,66,3.52,45,2.91,66,2.4,57,66,0.2,11,2,0,17,5,0,63.0,63.0,26.0,23.0,False,True,False,False,False,True,False,False,-57,-6,-0.2,-12,3.0,2.34,3.1199999999999997,-2,-2.4,0.0,0,34,0.0,-6,-3
Priscila Cachoeira,Ariane da Silva,1,135.0,65,3.76,44,7.03,43,0.15,33,65,0.0,125.0,67,4.04,41,3.87,53,0.52,55,68,0.3,12,6,0,17,10,0,67.0,66.0,36.0,31.0,False,True,False,False,False,True,False,False,-22,3,-0.3,-10,5.0,3.16,-0.28000000000000025,-2,-0.37,1.0,0,-3,10.0,-5,-4
Nate Landwehr,David Onama,1,145.0,72,5.59,46,5.77,52,0.85,41,74,0.8,145.0,74,5.6,50,5.07,52,0.73,20,52,0.6,18,6,0,13,2,0,69.0,71.0,36.0,30.0,False,True,False,False,False,True,False,False,21,-4,0.20000000000000007,0,6.0,0.6999999999999993,-0.009999999999999787,-2,0.12,-2.0,0,22,0.0,5,4
Marlon Vera,Dominick Cruz,1,135.0,70,4.27,49,5.37,50,0.51,39,72,0.8,135.0,68,3.91,33,2.61,70,2.82,42,83,0.1,23,10,1,24,4,0,68.0,68.0,32.0,40.0,False,False,False,True,False,True,False,False,-3,16,0.7000000000000001,-20,-8.0,2.7600000000000002,0.35999999999999943,2,-2.3099999999999996,0.0,1,-11,0.0,-1,6
Devin Clark,Azamat Murzakanov,0,205.0,75,3.03,54,3.24,44,2.17,32,58,0.1,205.0,71,4.72,56,2.9,61,0.62,15,83,0.0,14,9,0,14,0,0,72.0,70.0,34.0,35.0,False,True,False,False,False,False,True,False,17,-2,0.1,-17,-1.0,0.3400000000000003,-1.69,4,1.5499999999999998,2.0,0,-25,0.0,0,9
Aoriqileng,Jay Perrin,1,135.0,69,4.65,49,5.46,48,1.2,46,58,0.0,135.0,67,3.71,46,3.9,44,2.83,52,58,0.0,25,12,0,10,7,0,67.0,67.0,31.0,31.0,False,True,False,False,False,False,False,True,-6,3,0.0,4,0.0,1.56,0.9400000000000004,2,-1.6300000000000001,0.0,0,0,0.0,15,5
Daniel Lacerda,Victor Altamirano,0,125.0,70,3.95,45,8.28,34,2.32,50,0,1.2,125.0,70,4.58,53,3.82,53,2.88,38,63,0.0,11,6,0,12,5,0,66.0,68.0,28.0,34.0,False,False,False,True,False,False,False,True,12,-8,1.2,-19,-6.0,4.459999999999999,-0.6299999999999999,0,-0.56,-2.0,0,-63,0.0,-1,1
Amir Albazi,Francisco Figueiredo,1,125.0,68,2.72,34,3.71,61,1.39,32,50,0.5,125.0,68,2.04,61,2.59,61,2.51,75,76,0.4,17,2,0,13,5,1,65.0,66.0,31.0,35.0,False,True,False,False,False,False,True,False,-43,-27,0.09999999999999998,0,-4.0,1.12,0.6800000000000002,0,-1.1199999999999999,-1.0,-1,-26,0.0,4,-3
AJ Fletcher,Ange Loosa,0,170.0,67,3.36,49,4.61,46,1.54,35,33,0.9,170.0,74,5.6,44,6.68,53,2.41,38,83,0.2,10,3,0,10,4,0,70.0,70.0,28.0,32.0,False,False,False,True,False,True,False,False,-3,5,0.7,-7,-4.0,-2.0699999999999994,-2.2399999999999998,-7,-0.8700000000000001,0.0,0,-50,0.0,0,-1
Leonardo Santos,Jared Gordon,0,155.0,75,2.82,46,3.4,54,0.88,25,86,0.2,155.0,68,5.75,55,3.97,56,1.78,31,62,0.0,18,7,1,20,7,0,72.0,69.0,45.0,36.0,False,True,False,False,False,True,False,False,-6,-9,0.2,-2,9.0,-0.5700000000000003,-2.93,7,-0.9,3.0,1,24,0.0,-2,0
Marcin Tybura,Alexandr Romanov,1,249.0,78,3.57,49,3.26,55,1.42,33,77,0.1,262.0,75,3.78,51,2.13,54,4.49,55,28,0.9,26,9,0,18,3,0,75.0,74.0,39.0,34.0,False,True,False,False,False,False,True,False,-22,-2,-0.8,1,5.0,1.13,-0.20999999999999996,3,-3.0700000000000003,1.0,0,49,-13.0,8,6
Tyson Pedro,Harry Hunsucker,1,205.0,79,2.9,59,2.39,56,0.76,30,50,0.8,205.0,75,3.54,52,6.53,42,0.0,0,0,2.0,10,5,0,7,6,0,75.0,74.0,33.0,36.0,False,True,False,False,False,True,False,False,30,7,-1.2,14,-3.0,-4.140000000000001,-0.6400000000000001,4,0.76,1.0,0,50,0.0,3,-1
Jose Aldo,Merab Dvalishvili,0,135.0,70,3.62,46,3.72,60,0.49,53,92,0.1,135.0,68,4.36,42,2.51,56,5.89,35,82,0.3,32,9,0,19,4,0,67.0,66.0,38.0,34.0,False,True,False,False,False,True,False,False,18,4,-0.19999999999999998,4,4.0,1.2100000000000004,-0.7400000000000002,2,-5.3999999999999995,1.0,0,10,0.0,13,5
Wu Yanan,Lucie Pudilova,0,135.0,66,4.23,41,4.95,49,0.62,30,63,0.2,125.0,67,3.6,37,4.07,50,0.7,31,67,0.6,13,6,0,14,10,0,68.0,68.0,28.0,30.0,False,True,False,False,False,True,False,False,-1,4,-0.39999999999999997,-1,-2.0,0.8799999999999999,0.6300000000000003,-1,-0.07999999999999996,0.0,0,-4,10.0,-1,-4
