fighter1,fighter2,fight_outcome,fighter1_Weight,fighter1_Reach,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Weight,fighter2_Reach,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg,fighter1_Wins,fighter1_Losses,fighter1_Draws,fighter2_Wins,fighter2_Losses,fighter2_Draws,fighter1_Height_in,fighter2_Height_in,fighter1_Age,fighter2_Age,fighter1_Stance_Open stance,fighter1_Stance_Orthodox,fighter1_Stance_Southpaw,fighter1_Stance_Switch,fighter2_Stance_Open stance,fighter2_Stance_Orthodox,fighter2_Stance_Southpaw,fighter2_Stance_Switch,diff_TDAcc,diff_StrAcc,diff_SubAvg,diff_StrDef,diff_Age,diff_SApM,diff_SLpM,diff_Reach,diff_TDAvg,diff_Height_in,diff_Draws,diff_TDDef,diff_Weight,diff_Wins,diff_Losses
Justin Scoggins,Dustin Ortiz,0,125.0,66,3.56,51,2.16,55,3.42,63,82,0.5,125.0,65,2.94,44,2.17,56,3.01,36,52,0.1,11,5,0,19,8,0,67.0,65.0,32.0,36.0,False,False,True,False,False,True,False,False,27,7,0.4,-1,-4.0,-0.009999999999999787,0.6200000000000001,1,0.41000000000000014,2.0,0,30,0.0,-8,-3
Jesse Ronson,Kevin Lee,0,155.0,70,3.54,47,3.39,57,0.46,28,57,0.5,170.0,77,3.88,42,3.6,50,3.18,43,75,0.8,21,12,0,18,8,0,70.0,69.0,39.0,32.0,False,False,True,False,False,True,False,False,-15,5,-0.30000000000000004,7,7.0,-0.20999999999999996,-0.33999999999999986,-7,-2.72,1.0,0,-18,-15.0,3,4
Frankie Edgar,BJ Penn,1,135.0,68,3.77,40,2.82,65,2.29,31,65,0.3,155.0,70,2.76,48,3.2,56,1.19,55,74,0.5,23,11,1,16,14,2,66.0,69.0,43.0,46.0,False,True,False,False,False,True,False,False,-24,-8,-0.2,9,-3.0,-0.38000000000000034,1.0100000000000002,-2,1.1,-3.0,-1,-9,-20.0,7,-3
Dhiego Lima,Eddie Gordon,0,170.0,75,3.12,39,3.88,58,1.26,34,73,0.6,185.0,76,2.03,32,2.57,60,1.93,83,63,0.0,17,9,0,8,4,0,74.0,72.0,36.0,41.0,False,True,False,False,False,True,False,False,-49,7,0.6,-2,-5.0,1.31,1.0900000000000003,-1,-0.6699999999999999,2.0,0,10,-15.0,9,5
Kenny Robertson,Ildemar Alcantara,1,170.0,74,3.72,47,3.02,52,1.37,26,57,0.8,185.0,78,1.93,38,2.63,50,2.0,68,81,0.9,15,5,0,21,11,0,70.0,74.0,41.0,42.0,False,True,False,False,False,True,False,False,-42,9,-0.09999999999999998,2,-1.0,0.3900000000000001,1.7900000000000003,-4,-0.6299999999999999,-4.0,0,-24,-15.0,-6,-6
George Roop,Rob Font,0,135.0,72,3.43,34,2.47,60,1.05,57,59,0.1,135.0,71,5.49,46,3.67,57,0.79,34,42,0.4,15,13,1,22,8,0,73.0,68.0,43.0,37.0,False,True,False,False,False,True,False,False,23,-12,-0.30000000000000004,3,6.0,-1.1999999999999997,-2.06,1,0.26,5.0,1,17,0.0,-7,5
Urijah Faber,Alex Caceres,1,135.0,67,2.65,40,2.59,64,1.54,30,58,0.8,145.0,73,4.21,49,3.09,62,0.54,68,64,0.7,35,11,0,21,15,0,66.0,70.0,45.0,36.0,False,True,False,False,False,False,True,False,-38,-9,0.10000000000000009,2,9.0,-0.5,-1.56,-6,1.0,-4.0,0,-6,-10.0,14,-4
Marcus Brimage,Russell Doane,0,135.0,71,3.97,35,3.64,56,0.56,100,80,0.0,135.0,70,1.75,40,1.68,53,2.11,45,52,0.8,7,7,0,15,8,0,64.0,67.0,39.0,38.0,False,False,True,False,False,True,False,False,55,-5,-0.8,3,1.0,1.9600000000000002,2.22,1,-1.5499999999999998,-3.0,0,28,0.0,-8,-1
Chris Weidman,Lyoto Machida,1,185.0,78,3.11,45,3.37,51,3.27,42,72,0.8,185.0,74,2.59,53,1.57,61,1.21,65,75,0.4,16,8,0,24,8,0,74.0,73.0,40.0,46.0,False,True,False,False,False,False,True,False,-23,-8,0.4,-10,-6.0,1.8,0.52,4,2.06,1.0,0,-3,0.0,-8,0
Uriah Hall,Thiago Santos,1,185.0,79,3.23,48,3.85,54,0.54,38,64,0.1,205.0,76,3.72,48,2.57,53,0.88,33,65,0.1,18,11,0,22,11,0,72.0,74.0,40.0,41.0,False,True,False,False,False,True,False,False,5,0,0.0,1,-1.0,1.2800000000000002,-0.4900000000000002,3,-0.33999999999999997,-2.0,0,-1,-20.0,-4,0
Ronda Rousey,Alexis Davis,1,135.0,66,4.17,52,4.14,44,6.26,68,50,4.8,135.0,68,4.63,49,4.45,54,0.95,44,34,0.7,12,2,0,21,11,0,67.0,66.0,38.0,40.0,False,True,False,False,False,True,False,False,24,3,4.1,-10,-2.0,-0.3100000000000005,-0.45999999999999996,-2,5.31,1.0,0,16,0.0,-9,-9
Gian Villante,Sean O'Connell,1,230.0,76,4.38,44,5.47,55,0.45,23,83,0.0,205.0,74,5.46,48,6.77,45,0.0,0,30,0.5,17,14,0,17,9,0,75.0,73.0,39.0,41.0,False,True,False,False,False,True,False,False,23,-4,-0.5,10,-2.0,-1.2999999999999998,-1.08,2,0.45,2.0,0,53,25.0,0,5
